Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
12/14/2021 23:38,12/16/2021 1:54,UTC-06:00,12/14/2021 23:38,12/15/2021 7:17,78,14.1,397,459,122,104,171,62,509,45,86,FALSE
12/13/2021 22:59,12/14/2021 23:38,UTC-06:00,12/13/2021 22:59,12/14/2021 6:18,80,14.6,423,436,121,119,183,13,531,56,97,FALSE
12/12/2021 23:40,12/13/2021 22:59,UTC-06:00,12/12/2021 23:40,12/13/2021 6:38,75,14.1,398,418,123,93,182,20,532,58,95,FALSE
12/12/2021 3:19,12/12/2021 23:40,UTC-06:00,12/12/2021 3:19,12/12/2021 9:43,74,14.8,345,384,146,90,109,39,465,0,89,FALSE
12/10/2021 15:17,12/12/2021 3:19,UTC-06:00,12/10/2021 15:17,12/11/2021 5:08,100,15,653,831,303,151,199,178,499,27,78,FALSE
12/9/2021 22:25,12/10/2021 15:17,UTC-06:00,12/9/2021 22:25,12/10/2021 6:17,88,14.6,437,472,181,115,141,35,494,0,92,FALSE
12/8/2021 23:40,12/9/2021 22:25,UTC-06:00,12/8/2021 23:40,12/9/2021 7:32,100,14.8,430,468,172,97,161,38,427,34,92,FALSE
12/8/2021 1:10,12/8/2021 23:40,UTC-06:00,12/8/2021 12:31,12/8/2021 13:59,16,15.1,80,88,44,19,17,8,506,34,93,TRUE
12/8/2021 1:10,12/8/2021 23:40,UTC-06:00,12/8/2021 1:10,12/8/2021 4:00,,,,,,,,,,,,FALSE
12/6/2021 22:00,12/8/2021 1:10,UTC-06:00,12/6/2021 22:00,12/7/2021 6:30,85,15.2,467,503,197,97,173,36,547,90,93,FALSE
12/6/2021 4:03,12/6/2021 22:00,UTC-06:00,12/6/2021 4:03,12/6/2021 9:27,60,15.8,289,322,109,72,108,33,479,0,90,FALSE
12/4/2021 23:29,12/6/2021 4:03,UTC-06:00,12/4/2021 23:29,12/5/2021 7:48,100,15.9,455,488,201,89,165,33,443,27,93,FALSE
12/3/2021 21:30,12/4/2021 23:29,UTC-06:00,12/4/2021 15:53,12/4/2021 16:54,10,16.8,49,58,49,0,0,9,489,27,100,TRUE
12/3/2021 21:30,12/4/2021 23:29,UTC-06:00,12/3/2021 21:30,12/4/2021 5:36,88,14.9,421,486,168,93,160,65,480,17,86,FALSE
12/2/2021 21:43,12/3/2021 21:30,UTC-06:00,12/2/2021 21:43,12/3/2021 6:08,94,14.7,443,504,219,92,132,61,472,8,90,FALSE
12/1/2021 20:57,12/2/2021 21:43,UTC-06:00,12/1/2021 20:57,12/2/2021 5:46,97,14.4,486,526,186,113,187,40,500,43,92,FALSE
11/30/2021 19:58,12/1/2021 20:57,UTC-06:00,11/30/2021 19:58,12/1/2021 4:08,81,14.1,429,488,229,70,130,59,527,56,88,FALSE
11/29/2021 21:42,11/30/2021 19:58,UTC-06:00,11/29/2021 21:42,11/30/2021 4:14,75,13.7,352,392,187,69,96,40,472,0,90,FALSE
11/28/2021 20:47,11/29/2021 21:42,UTC-06:00,11/28/2021 20:47,11/29/2021 5:56,100,14.3,496,548,124,123,249,52,457,0,90,FALSE
11/27/2021 20:24,11/28/2021 20:47,UTC-06:00,11/27/2021 20:24,11/28/2021 5:30,100,14.6,490,545,198,106,186,55,485,0,90,FALSE
11/26/2021 21:05,11/27/2021 20:24,UTC-06:00,11/26/2021 21:05,11/27/2021 6:02,100,14.3,503,534,203,103,197,31,484,26,94,FALSE
11/25/2021 22:25,11/26/2021 21:05,UTC-06:00,11/25/2021 22:25,11/26/2021 6:17,91,14.6,445,471,204,82,159,26,491,0,94,FALSE
11/24/2021 21:43,11/25/2021 22:25,UTC-06:00,11/24/2021 21:43,11/25/2021 6:36,100,14.4,493,530,215,100,178,37,487,14,93,FALSE
11/23/2021 20:15,11/24/2021 21:43,UTC-06:00,11/23/2021 20:15,11/24/2021 4:59,95,14.6,497,525,187,99,211,28,521,58,95,FALSE
11/23/2021 0:33,11/23/2021 20:15,UTC-06:00,11/23/2021 0:33,11/23/2021 7:45,80,14.5,392,429,206,53,133,37,489,23,91,FALSE
11/21/2021 21:45,11/23/2021 0:33,UTC-06:00,11/21/2021 21:45,11/22/2021 6:05,92,14.1,479,500,206,103,170,21,523,61,96,FALSE
11/20/2021 23:34,11/21/2021 21:45,UTC-06:00,11/20/2021 23:34,11/21/2021 7:05,73,14.6,413,450,163,79,171,37,565,108,92,FALSE
11/20/2021 6:50,11/20/2021 23:34,UTC-06:00,11/20/2021 6:50,11/20/2021 11:09,52,14,242,259,98,38,106,17,467,8,93,FALSE
